model,auc,pr_auc,brier,top_decile_lift,oob_accuracy
Logistic regression,0.7533542648811954,0.34468569360006784,0.13513583717164981,2.0562390158172232,
Decision tree (depth 4),0.7483428388008146,0.3272650856186094,0.13517104538707972,1.704745166959578,
Bagging,0.7578639700008458,0.34103052330321676,0.13302512458840082,1.968365553602812,0.8275
Random forest,0.7569602939188383,0.34439013968888577,0.13350735254942947,2.003514938488576,0.82725
XGBoost,0.7544506047038871,0.34551829733228956,0.13349370658397675,1.8804920913884007,
Ceiling (true probability),0.753993706076824,0.33777519561726543,0.13090816666666666,1.8980667838312828,
