policy,treated,spend,partners_saved,net_value,value_per_rupee,flagged_treated
Save the riskiest,300.0,450000.0,37.089499999999994,-32889.52087926517,-0.07308782417614482,78.0
"Value-weighted, no guardrail",300.0,450000.0,39.2255,242535.22213646647,0.5389671603032589,80.0
Value-weighted + guardrail,300.0,450000.0,39.30199999999999,658656.1071449748,1.4636802380999439,0.0
Driver-matched (SHAP),300.0,126600.0,47.27000000000001,954860.373932125,7.542341026320103,0.0
Uplift-aware (pilot),300.0,312500.0,56.336999999999996,1167934.8226683205,3.7373914325386255,0.0
Oracle (true effects),300.0,299300.0,57.157,1328689.1082199265,4.439322112328521,0.0
